Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0030246~carbohydrate binding	4	19.047619047619047	9.013855269459914E-4	SELP, CLEC17A, KLRD1, GALNT9	19	204	18869	19.472652218782248	0.06455470283939901	0.06760391452094935	0.06760391452094935
GOTERM_MF_DIRECT	GO:0042806~fucose binding	2	9.523809523809524	0.004761140396040705	SELP, CLEC17A	19	5	18869	397.2421052631579	0.29753928005589625	0.17854276485152645	0.17854276485152645
GOTERM_BP_DIRECT	GO:0019896~axonal transport of mitochondrion	2	9.523809523809524	0.009645067068513284	HSBP1, MAPT	18	11	19308	195.03030303030303	0.8459584988178357	1.0	1.0
GOTERM_MF_DIRECT	GO:1902936~phosphatidylinositol bisphosphate binding	2	9.523809523809524	0.01044624936629418	MAPT, KCNH1	19	11	18869	180.5645933014354	0.5402573425564747	0.2611562341573545	0.2611562341573545
GOTERM_MF_DIRECT	GO:0071889~14-3-3 protein binding	2	9.523809523809524	0.030103541781512123	PRKCZ, KCNH1	19	32	18869	62.06907894736842	0.8958455972736395	0.5644414084033523	0.5644414084033523
GOTERM_BP_DIRECT	GO:0007616~long-term memory	2	9.523809523809524	0.03294943981890298	RASGRF1, PRKCZ	18	38	19308	56.456140350877185	0.9984451378128271	1.0	1.0
GOTERM_BP_DIRECT	GO:1990090~cellular response to nerve growth factor stimulus	2	9.523809523809524	0.03635772085915237	ELAVL4, MAPT	18	42	19308	51.079365079365076	0.9992133921063359	1.0	1.0
GOTERM_BP_DIRECT	GO:0048167~regulation of synaptic plasticity	2	9.523809523809524	0.047356720966873524	RASGRF1, MAPT	18	55	19308	39.00606060606061	0.999914187726047	1.0	1.0
GOTERM_BP_DIRECT	GO:0090502~RNA phosphodiester bond hydrolysis, endonucleolytic	2	9.523809523809524	0.06073176441973173	SLFN14, RMRP	18	71	19308	30.215962441314552	0.9999943972705476	1.0	1.0
GOTERM_BP_DIRECT	GO:0034976~response to endoplasmic reticulum stress	2	9.523809523809524	0.07146864063967268	RASGRF1, ELAVL4	18	84	19308	25.539682539682538	0.9999993908291318	1.0	1.0
GOTERM_MF_DIRECT	GO:0042802~identical protein binding	5	23.809523809523807	0.0741784200265883	HSBP1, CLEC17A, MAPT, MDFI, KCNH1	19	1714	18869	2.8970398575201126	0.9966655810494941	1.0	1.0
GOTERM_MF_DIRECT	GO:0019901~protein kinase binding	3	14.285714285714285	0.08419348087916567	MAPT, PRKCZ, KCNH1	19	511	18869	5.8303635801833344	0.9985090053943839	1.0	1.0
