V1	V2	V3	V4	V5
ARG_POLYAMINE_SYN	3.27977393758756	C	2.18315023864882	0.030382821976577493
DAPLYSINESYN_PWY	3.68480601472092	C	2.34338989489058	0.04776124267510393
GALACT_GLUCUROCAT_PWY	3.25213078062381	T	2.30129495324736	0.0064928577450839246
GALACTUROCAT_PWY	3.50627688673486	T	2.53637008611182	0.009374768459434878
GLUCUROCAT_PWY	3.22240332939427	T	2.21429749222676	0.028838793626490333
HOMOSER_METSYN_PWY	3.48717745556728	C	2.28248035227277	0.04330814281079172
P164_PWY	3.38857129316466	T	2.28692438799832	0.03199733937639145
P4_PWY	3.62318981720185	C	2.3154351073297	0.045488787749747676
POLYAMSYN_PWY	3.12271868284236	C	2.17826882479665	0.024605401927148125
PWY_4984	3.11156687718085	T	2.13329219257986	0.03199733937639145
PWY_5347	3.6597002813488	C	2.30641048022293	0.037289076813638966
PWY_5941	2.60630411115562	C	2.09822123370921	0.003644806412520187
PWY_6507	3.56926448470885	T	2.64288157968344	0.030382821976577493
PWY_7242	3.61789638613515	T	2.60777864169558	0.020921335337793955
PWY_7315	2.98314763141954	T	2.1496271118494	0.04330814281079172
PWY0_781	3.60703407008734	C	2.27556577754536	0.04330814281079172
